date,jour,heure,image,etat,chemin_fichier_post
2025-12-25,jeudi,,images/2025-12-25.jpg,preparé,posts/2025-12-25.md
2025-12-25,jeudi,,images/2025-12-25.jpg,image_prete,
2025-12-25,jeudi,,images/2025-12-25.jpg,image_prete,
2025-12-26,vendredi,,images/2025-12-26.jpg,preparé,posts/2025-12-26.md
2025-12-29,lundi,,images/2025-12-29.jpg,preparé,posts/2025-12-29.md
2025-12-30,mardi,,images/2025-12-30.jpg,image_prete,
2025-12-31,mercredi,,images/2025-12-31.jpg,image_prete,
2026-01-01,jeudi,,images/2026-01-01.jpg,image_prete,
2026-01-02,vendredi,,images/2026-01-02.jpg,image_prete,
2026-01-05,lundi,,images/2026-01-05.jpg,image_prete,
2026-01-06,mardi,,images/2026-01-06.jpg,image_prete,
2026-01-07,mercredi,,images/2026-01-07.jpg,image_prete,
2026-01-08,jeudi,,images/2026-01-08.jpg,image_prete,
2026-01-09,Friday,,,slot,
2026-01-12,Monday,,,slot,
2026-01-13,Tuesday,,,slot,
2026-01-14,Wednesday,,,slot,
2026-01-15,Thursday,,,slot,
2026-01-16,Friday,,,slot,
2026-01-19,Monday,,,slot,
2026-01-20,Tuesday,,,slot,
2026-01-21,Wednesday,,,slot,
2026-01-22,Thursday,,,slot,
2026-01-23,Friday,,,slot,
2026-01-26,Monday,,,slot,
2026-01-27,Tuesday,,,slot,
2026-01-28,Wednesday,,,slot,
2026-01-29,Thursday,,,slot,
2026-01-30,Friday,,,slot,
2026-02-02,Monday,,,slot,
2026-02-03,Tuesday,,,slot,
2026-02-04,Wednesday,,,slot,
2026-02-05,Thursday,,,slot,
2026-02-06,Friday,,,slot,
